Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
Tuesday 2,01/29/19,T,T,0,0,0
Tuesday 2,05/02/19,T,0,T,0,0
Tuesday 2,12/02/19,T,T,0,0,0
Tuesday 2,02/19/19,T,0,T,0,0
Tuesday 2,02/26/19,T,T,0,0,0
Tuesday 2,05/03/19,T,0,T,0,0
Tuesday 2,12/03/19,T,T,0,T,0
Tuesday 2,03/19/19,T,0,T,0,0
Tuesday 2,03/26/19,T,T,0,T,0
Tuesday 2,02/04/19,T,0,T,0,0
Tuesday 2,09/04/19,T,T,0,T,0
Tuesday 2,04/16/19,T,0,T,0,0
Tuesday 2,04/23/19,T,T,0,T,0
Tuesday 2,04/30/19,T,0,T,0,0
Tuesday 2,07/05/19,T,T,0,T,0
Tuesday 2,05/14/19,T,0,T,0,0
Tuesday 2,05/21/19,T,T,0,T,0
Tuesday 2,05/28/19,T,0,T,0,0
Tuesday 2,04/06/19,T,T,0,T,0
Tuesday 2,11/06/19,T,0,T,0,0
Tuesday 2,06/18/19,T,T,0,T,0
Tuesday 2,06/25/19,T,0,T,0,0
Tuesday 2,02/07/19,T,T,0,T,0
Tuesday 2,09/07/19,T,0,T,0,0
Tuesday 2,07/16/19,T,T,0,T,0
Tuesday 2,07/23/19,T,0,T,0,0
Tuesday 2,07/30/19,T,T,0,T,0
Tuesday 2,06/08/19,T,0,T,0,0
Tuesday 2,08/13/19,T,T,0,T,0
Tuesday 2,08/20/19,T,0,T,0,0
Tuesday 2,08/27/19,T,T,0,T,0
Tuesday 2,03/09/19,T,0,T,0,0
Tuesday 2,10/09/19,T,T,0,T,0
Tuesday 2,09/17/19,T,0,T,0,0
Tuesday 2,09/24/19,T,T,0,T,0
Tuesday 2,01/10/19,T,0,T,0,0
Tuesday 2,08/10/19,T,T,0,T,0
Tuesday 2,10/15/19,T,0,T,0,0
Tuesday 2,10/22/19,T,T,0,T,0
Tuesday 2,10/29/19,T,0,T,0,0
Tuesday 2,05/11/19,T,T,0,T,0
Tuesday 2,12/11/19,T,0,T,0,0
Tuesday 2,11/19/19,T,T,0,T,0
Tuesday 2,11/26/19,T,0,T,0,0
Tuesday 2,03/12/19,T,T,0,T,0
Tuesday 2,10/12/19,T,0,T,0,0
Tuesday 2,12/17/19,T,T,0,0,0
Tuesday 2,12/24/19,T,0,T,0,0
Tuesday 2,12/31/19,T,T,0,0,0
Wednesday 1,02/01/19,W,0,W,0,0
Wednesday 1,09/01/19,W,W,0,0,W
Wednesday 1,01/16/19,W,0,W,0,0
Wednesday 1,01/23/19,W,W,0,0,W
Wednesday 1,01/30/19,W,0,W,0,0
Wednesday 1,06/02/19,W,W,0,0,0
Wednesday 1,02/13/19,W,0,W,0,0
Wednesday 1,02/20/19,W,W,0,W,0
Wednesday 1,02/27/19,W,0,W,0,0
Wednesday 1,06/03/19,W,W,0,W,0
Wednesday 1,03/13/19,W,0,W,0,0
Wednesday 1,03/20/19,W,W,0,W,0
Wednesday 1,03/27/19,W,0,W,0,0
Wednesday 1,03/04/19,W,W,0,W,0
Wednesday 1,10/04/19,W,0,W,0,0
Wednesday 1,04/17/19,W,W,0,W,0
Wednesday 1,04/24/19,W,0,W,0,0
Wednesday 1,01/05/19,W,W,0,W,0
Wednesday 1,08/05/19,W,0,W,0,0
Wednesday 1,05/15/19,W,W,0,W,0
Wednesday 1,05/22/19,W,0,W,0,0
Wednesday 1,05/29/19,W,W,0,W,0
Wednesday 1,05/06/19,W,0,W,0,0
Wednesday 1,12/06/19,W,W,0,W,0
Wednesday 1,06/19/19,W,0,W,0,0
Wednesday 1,06/26/19,W,W,0,W,0
Wednesday 1,03/07/19,W,0,W,0,0
Wednesday 1,10/07/19,W,W,0,W,0
Wednesday 1,07/17/19,W,0,W,0,0
Wednesday 1,07/24/19,W,W,0,W,0
Wednesday 1,07/31/19,W,0,W,0,0
Wednesday 1,07/08/19,W,W,0,W,0
Wednesday 1,08/14/19,W,0,W,0,0
Wednesday 1,08/21/19,W,W,0,W,0
Wednesday 1,08/28/19,W,0,W,0,0
Wednesday 1,04/09/19,W,W,0,W,0
Wednesday 1,11/09/19,W,0,W,0,0
Wednesday 1,09/18/19,W,W,0,W,0
Wednesday 1,09/25/19,W,0,W,0,0
Wednesday 1,02/10/19,W,W,0,W,0
Wednesday 1,09/10/19,W,0,W,0,0
Wednesday 1,10/16/19,W,W,0,W,0
Wednesday 1,10/23/19,W,0,W,0,0
Wednesday 1,10/30/19,W,W,0,W,0
Wednesday 1,06/11/19,W,0,W,0,0
Wednesday 1,11/13/19,W,W,0,W,0
Wednesday 1,11/20/19,W,0,W,0,0
Wednesday 1,11/27/19,W,W,0,W,0
Wednesday 1,04/12/19,W,0,W,0,0
Wednesday 1,11/12/19,W,W,0,W,0
Wednesday 1,12/18/19,W,0,W,0,0
Wednesday 1,12/25/19,W,W,0,0,0
Wednesday 2,02/01/19,W,W,0,0,W
Wednesday 2,09/01/19,W,0,W,0,0
Wednesday 2,01/16/19,W,W,0,0,W
Wednesday 2,01/23/19,W,0,W,0,0
Wednesday 2,01/30/19,W,W,0,0,0
Wednesday 2,06/02/19,W,0,W,0,0
Wednesday 2,02/13/19,W,W,0,0,0
Wednesday 2,02/20/19,W,0,W,0,0
Wednesday 2,02/27/19,W,W,0,0,0
Wednesday 2,06/03/19,W,0,W,0,0
Wednesday 2,03/13/19,W,W,0,W,0
Wednesday 2,03/20/19,W,0,W,0,0
Wednesday 2,03/27/19,W,W,0,W,0
Wednesday 2,03/04/19,W,0,W,0,0
Wednesday 2,10/04/19,W,W,0,W,0
Wednesday 2,04/17/19,W,0,W,0,0
Wednesday 2,04/24/19,W,W,0,W,0
Wednesday 2,01/05/19,W,0,W,0,0
Wednesday 2,08/05/19,W,W,0,W,0
Wednesday 2,05/15/19,W,0,W,0,0
Wednesday 2,05/22/19,W,W,0,W,0
Wednesday 2,05/29/19,W,0,W,0,0
Wednesday 2,05/06/19,W,W,0,W,0
Wednesday 2,12/06/19,W,0,W,0,0
Wednesday 2,06/19/19,W,W,0,W,0
Wednesday 2,06/26/19,W,0,W,0,0
Wednesday 2,03/07/19,W,W,0,W,0
Wednesday 2,10/07/19,W,0,W,0,0
Wednesday 2,07/17/19,W,W,0,W,0
Wednesday 2,07/24/19,W,0,W,0,0
Wednesday 2,07/31/19,W,W,0,W,0
Wednesday 2,07/08/19,W,0,W,0,0
Wednesday 2,08/14/19,W,W,0,W,0
Wednesday 2,08/21/19,W,0,W,0,0
Wednesday 2,08/28/19,W,W,0,W,0
Wednesday 2,04/09/19,W,0,W,0,0
Wednesday 2,11/09/19,W,W,0,W,0
Wednesday 2,09/18/19,W,0,W,0,0
Wednesday 2,09/25/19,W,W,0,W,0
Wednesday 2,02/10/19,W,0,W,0,0
Wednesday 2,09/10/19,W,W,0,W,0
Wednesday 2,10/16/19,W,0,W,0,0
Wednesday 2,10/23/19,W,W,0,W,0
Wednesday 2,10/30/19,W,0,W,0,0
Wednesday 2,06/11/19,W,W,0,W,0
Wednesday 2,11/13/19,W,0,W,0,0
Wednesday 2,11/20/19,W,W,0,W,0
Wednesday 2,11/27/19,W,0,W,0,0
Wednesday 2,04/12/19,W,W,0,W,0
Wednesday 2,11/12/19,W,0,W,0,0
Wednesday 2,12/18/19,W,W,0,0,0
Wednesday 2,12/25/19,W,0,W,0,0
Thursday 1,01/03/19,R,0,R,0,0
Thursday 1,01/10/19,R,R,0,0,R
Thursday 1,01/17/19,R,0,R,0,0
Thursday 1,01/24/19,R,R,0,0,R
Thursday 1,01/31/19,R,0,R,0,0
Thursday 1,02/07/19,R,R,0,0,0
Thursday 1,02/14/19,R,0,R,0,0
Thursday 1,02/21/19,R,R,0,0,0
Thursday 1,02/28/19,R,0,R,0,0
Thursday 1,03/07/19,R,R,0,0,0
Thursday 1,03/14/19,R,0,R,0,0
Thursday 1,03/21/19,R,R,0,0,0
Thursday 1,03/28/19,R,0,R,0,0
Thursday 1,04/04/19,R,R,0,0,0
Thursday 1,04/11/19,R,0,R,0,0
Thursday 1,04/18/19,R,R,0,0,0
Thursday 1,04/25/19,R,0,R,0,0
Thursday 1,05/02/19,R,R,0,0,0
Thursday 1,05/09/19,R,0,R,0,0
Thursday 1,05/16/19,R,R,0,0,0
Thursday 1,05/23/19,R,0,R,0,0
Thursday 1,05/30/19,R,R,0,0,0
Thursday 1,06/06/19,R,0,R,0,0
Thursday 1,06/13/19,R,R,0,0,0
Thursday 1,06/20/19,R,0,R,0,0
Thursday 1,06/27/19,R,R,0,0,0
Thursday 1,07/04/19,R,0,R,0,0
Thursday 1,07/11/19,R,R,0,0,0
Thursday 1,07/18/19,R,0,R,0,0
Thursday 1,07/25/19,R,R,0,0,0
Thursday 1,08/01/19,R,0,R,0,0
Thursday 1,08/08/19,R,R,0,0,0
Thursday 1,08/15/19,R,0,R,0,0
Thursday 1,08/22/19,R,R,0,0,0
Thursday 1,08/29/19,R,0,R,0,0
Thursday 1,09/05/19,R,R,0,0,0
Thursday 1,09/12/19,R,0,R,0,0
Thursday 1,09/19/19,R,R,0,0,0
Thursday 1,09/26/19,R,0,R,0,0
Thursday 1,10/03/19,R,R,0,0,0
Thursday 1,10/10/19,R,0,R,0,0
Thursday 1,10/17/19,R,R,0,0,0
Thursday 1,10/24/19,R,0,R,0,0
Thursday 1,10/31/19,R,R,0,0,0
Thursday 1,11/07/19,R,0,R,0,0
Thursday 1,11/14/19,R,R,0,0,0
Thursday 1,11/21/19,R,0,R,0,0
Thursday 1,11/28/19,R,R,0,0,0
Thursday 1,12/05/19,R,0,R,0,0
Thursday 1,12/12/19,R,R,0,0,0
Thursday 1,12/19/19,R,0,R,0,0
Thursday 1,12/26/19,R,R,0,0,0
Thursday 2,03/01/19,R,R,0,0,R
Thursday 2,10/01/19,R,0,R,0,0
Thursday 2,01/17/19,R,R,0,0,R
Thursday 2,01/24/19,R,0,R,0,0
Thursday 2,01/31/19,R,R,0,0,0
Thursday 2,07/02/19,R,0,R,0,0
Thursday 2,02/14/19,R,R,0,0,0
Thursday 2,02/21/19,R,0,R,0,0
Thursday 2,02/28/19,R,R,0,0,0
Thursday 2,07/03/19,R,0,R,0,0
Thursday 2,03/14/19,R,R,0,R,0
Thursday 2,03/21/19,R,0,R,0,0
Thursday 2,03/28/19,R,R,0,R,0
Thursday 2,04/04/19,R,0,R,0,0
Thursday 2,11/04/19,R,R,0,R,0
Thursday 2,04/18/19,R,0,R,0,0
Thursday 2,04/25/19,R,R,0,R,0
Thursday 2,02/05/19,R,0,R,0,0
Thursday 2,09/05/19,R,R,0,R,0
Thursday 2,05/16/19,R,0,R,0,0
Thursday 2,05/23/19,R,R,0,R,0
Thursday 2,05/30/19,R,0,R,0,0
Thursday 2,06/06/19,R,R,0,R,0
Thursday 2,06/13/19,R,0,R,0,0
Thursday 2,06/20/19,R,R,0,R,0
Thursday 2,06/27/19,R,0,R,0,0
Thursday 2,04/07/19,R,R,0,R,0
Thursday 2,11/07/19,R,0,R,0,0
Thursday 2,07/18/19,R,R,0,R,0
Thursday 2,07/25/19,R,0,R,0,0
Thursday 2,01/08/19,R,R,0,R,0
Thursday 2,08/08/19,R,0,R,0,0
Thursday 2,08/15/19,R,R,0,R,0
Thursday 2,08/22/19,R,0,R,0,0
Thursday 2,08/29/19,R,R,0,R,0
Thursday 2,05/09/19,R,0,R,0,0
Thursday 2,12/09/19,R,R,0,R,0
Thursday 2,09/19/19,R,0,R,0,0
Thursday 2,09/26/19,R,R,0,R,0
Thursday 2,03/10/19,R,0,R,0,0
Thursday 2,10/10/19,R,R,0,R,0
Thursday 2,10/17/19,R,0,R,0,0
Thursday 2,10/24/19,R,R,0,R,0
Thursday 2,10/31/19,R,0,R,0,0
Thursday 2,07/11/19,R,R,0,R,0
Thursday 2,11/14/19,R,0,R,0,0
Thursday 2,11/21/19,R,R,0,R,0
Thursday 2,11/28/19,R,0,R,0,0
Thursday 2,05/12/19,R,R,0,R,0
Thursday 2,12/12/19,R,0,R,0,0
Thursday 2,12/19/19,R,R,0,0,0
Thursday 2,12/26/19,R,0,R,0,0
Friday 1,04/01/19,F,0,F,0,0
Friday 1,11/01/19,F,F,0,0,F
Friday 1,01/18/19,F,0,F,0,0
Friday 1,01/25/19,F,F,0,0,F
Friday 1,01/02/19,F,0,F,0,0
Friday 1,08/02/19,F,F,0,0,0
Friday 1,02/15/19,F,0,F,0,0
Friday 1,02/22/19,F,F,0,F,0
Friday 1,01/03/19,F,0,F,0,0
Friday 1,08/03/19,F,F,0,F,0
Friday 1,03/15/19,F,0,F,0,0
Friday 1,03/22/19,F,F,0,F,0
Friday 1,03/29/19,F,0,F,0,0
Friday 1,05/04/19,F,F,0,F,0
Friday 1,12/04/19,F,0,F,0,0
Friday 1,04/19/19,F,F,0,F,0
Friday 1,04/26/19,F,0,F,0,0
Friday 1,03/05/19,F,F,0,F,0
Friday 1,10/05/19,F,0,F,0,0
Friday 1,05/17/19,F,F,0,F,0
Friday 1,05/24/19,F,0,F,0,0
Friday 1,05/31/19,F,F,0,F,0
Friday 1,07/06/19,F,0,F,0,0
Friday 1,06/14/19,F,F,0,F,0
Friday 1,06/21/19,F,0,F,0,0
Friday 1,06/28/19,F,F,0,F,0
Friday 1,05/07/19,F,0,F,0,0
Friday 1,12/07/19,F,F,0,F,0
Friday 1,07/19/19,F,0,F,0,0
Friday 1,07/26/19,F,F,0,F,0
Friday 1,02/08/19,F,0,F,0,0
Friday 1,09/08/19,F,F,0,F,0
Friday 1,08/16/19,F,0,F,0,0
Friday 1,08/23/19,F,F,0,F,0
Friday 1,08/30/19,F,0,F,0,0
Friday 1,06/09/19,F,F,0,F,0
Friday 1,09/13/19,F,0,F,0,0
Friday 1,09/20/19,F,F,0,F,0
Friday 1,09/27/19,F,0,F,0,0
Friday 1,04/10/19,F,F,0,F,0
Friday 1,11/10/19,F,0,F,0,0
Friday 1,10/18/19,F,F,0,F,0
Friday 1,10/25/19,F,0,F,0,0
Friday 1,01/11/19,F,F,0,F,0
Friday 1,08/11/19,F,0,F,0,0
Friday 1,11/15/19,F,F,0,F,0
Friday 1,11/22/19,F,0,F,0,0
Friday 1,11/29/19,F,F,0,F,0
Friday 1,06/12/19,F,0,F,0,0
Friday 1,12/13/19,F,F,0,F,0
Friday 1,12/20/19,F,0,F,0,0
Friday 1,12/27/19,F,F,0,0,0
Friday 2,04/01/19,F,F,0,0,F
Friday 2,11/01/19,F,0,F,0,0
Friday 2,01/18/19,F,F,0,0,F
Friday 2,01/25/19,F,0,F,0,0
Friday 2,01/02/19,F,F,0,0,0
Friday 2,08/02/19,F,0,F,0,0
Friday 2,02/15/19,F,F,0,0,0
Friday 2,02/22/19,F,0,F,0,0
Friday 2,01/03/19,F,F,0,0,0
Friday 2,08/03/19,F,0,F,0,0
Friday 2,03/15/19,F,F,0,F,0
Friday 2,03/22/19,F,0,F,0,0
Friday 2,03/29/19,F,F,0,F,0
Friday 2,05/04/19,F,0,F,0,0
Friday 2,12/04/19,F,F,0,F,0
Friday 2,04/19/19,F,0,F,0,0
Friday 2,04/26/19,F,F,0,F,0
Friday 2,03/05/19,F,0,F,0,0
Friday 2,10/05/19,F,F,0,F,0
Friday 2,05/17/19,F,0,F,0,0
Friday 2,05/24/19,F,F,0,F,0
Friday 2,05/31/19,F,0,F,0,0
Friday 2,07/06/19,F,F,0,F,0
Friday 2,06/14/19,F,0,F,0,0
Friday 2,06/21/19,F,F,0,F,0
Friday 2,06/28/19,F,0,F,0,0
Friday 2,05/07/19,F,F,0,F,0
Friday 2,12/07/19,F,0,F,0,0
Friday 2,07/19/19,F,F,0,F,0
Friday 2,07/26/19,F,0,F,0,0
Friday 2,02/08/19,F,F,0,F,0
Friday 2,09/08/19,F,0,F,0,0
Friday 2,08/16/19,F,F,0,F,0
Friday 2,08/23/19,F,0,F,0,0
Friday 2,08/30/19,F,F,0,F,0
Friday 2,06/09/19,F,0,F,0,0
Friday 2,09/13/19,F,F,0,F,0
Friday 2,09/20/19,F,0,F,0,0
Friday 2,09/27/19,F,F,0,F,0
Friday 2,04/10/19,F,0,F,0,0
Friday 2,11/10/19,F,F,0,F,0
Friday 2,10/18/19,F,0,F,0,0
Friday 2,10/25/19,F,F,0,F,0
Friday 2,01/11/19,F,0,F,0,0
Friday 2,08/11/19,F,F,0,F,0
Friday 2,11/15/19,F,0,F,0,0
Friday 2,11/22/19,F,F,0,F,0
Friday 2,11/29/19,F,0,F,0,0
Friday 2,06/12/19,F,F,0,F,0
Friday 2,12/13/19,F,0,F,0,0
Friday 2,12/20/19,F,F,0,0,0
Friday 2,12/27/19,F,0,F,0,0
